subject_id,scope,code_id,threshold,events,exposure_hours,events_per_hour
00,rem,legacy_lrl,0.8,12,1.035,11.594202898550726
00,full_night_ungated,legacy_lrl,0.8,504,22.083333333333332,22.822641509433964
01,rem,legacy_lrl,0.8,23,1.4077777777777778,16.337805840568272
01,full_night_ungated,legacy_lrl,0.8,630,23.35,26.98072805139186
02,rem,legacy_lrl,0.8,19,1.3416666666666666,14.161490683229815
02,full_night_ungated,legacy_lrl,0.8,554,23.366666666666667,23.708987161198287
03,rem,legacy_lrl,0.8,57,1.7305555555555556,32.93739967897271
03,full_night_ungated,legacy_lrl,0.8,1128,23.5,48.0
04,rem,legacy_lrl,0.8,24,1.6066666666666667,14.937759336099585
04,full_night_ungated,legacy_lrl,0.8,268,21.416666666666668,12.513618677042802
05,rem,legacy_lrl,0.8,8,0.5633333333333334,14.201183431952662
05,full_night_ungated,legacy_lrl,0.8,616,22.683333333333334,27.1565025716385
00,rem,legacy_lrlr,0.775,3,1.035,2.8985507246376816
00,full_night_ungated,legacy_lrlr,0.775,148,22.083333333333332,6.7018867924528305
01,rem,legacy_lrlr,0.775,5,1.4077777777777778,3.5516969218626677
01,full_night_ungated,legacy_lrlr,0.775,188,23.35,8.051391862955033
02,rem,legacy_lrlr,0.775,3,1.3416666666666666,2.236024844720497
02,full_night_ungated,legacy_lrlr,0.775,185,23.366666666666667,7.917261055634807
03,rem,legacy_lrlr,0.775,23,1.7305555555555556,13.290529695024077
03,full_night_ungated,legacy_lrlr,0.775,423,23.5,18.0
04,rem,legacy_lrlr,0.775,8,1.6066666666666667,4.979253112033195
04,full_night_ungated,legacy_lrlr,0.775,81,21.416666666666668,3.782101167315175
05,rem,legacy_lrlr,0.775,2,0.5633333333333334,3.5502958579881656
05,full_night_ungated,legacy_lrlr,0.775,181,22.683333333333334,7.979426891991183
00,rem,legacy_lrlrlr,0.725,0,1.035,0.0
00,full_night_ungated,legacy_lrlrlr,0.725,28,22.083333333333332,1.267924528301887
01,rem,legacy_lrlrlr,0.725,0,1.4077777777777778,0.0
01,full_night_ungated,legacy_lrlrlr,0.725,40,23.35,1.7130620985010705
02,rem,legacy_lrlrlr,0.725,1,1.3416666666666666,0.7453416149068324
02,full_night_ungated,legacy_lrlrlr,0.725,44,23.366666666666667,1.8830242510699
03,rem,legacy_lrlrlr,0.725,3,1.7305555555555556,1.7335473515248796
03,full_night_ungated,legacy_lrlrlr,0.725,118,23.5,5.0212765957446805
04,rem,legacy_lrlrlr,0.725,0,1.6066666666666667,0.0
04,full_night_ungated,legacy_lrlrlr,0.725,18,21.416666666666668,0.8404669260700388
05,rem,legacy_lrlrlr,0.725,0,0.5633333333333334,0.0
05,full_night_ungated,legacy_lrlrlr,0.725,34,22.683333333333334,1.4988978692138133
00,rem,double_lrlr_pause,0.675,1,1.035,0.9661835748792271
00,full_night_ungated,double_lrlr_pause,0.675,7,22.083333333333332,0.31698113207547174
01,rem,double_lrlr_pause,0.675,1,1.4077777777777778,0.7103393843725335
01,full_night_ungated,double_lrlr_pause,0.675,29,23.35,1.241970021413276
02,rem,double_lrlr_pause,0.675,0,1.3416666666666666,0.0
02,full_night_ungated,double_lrlr_pause,0.675,19,23.366666666666667,0.8131241084165478
03,rem,double_lrlr_pause,0.675,3,1.7305555555555556,1.7335473515248796
03,full_night_ungated,double_lrlr_pause,0.675,56,23.5,2.382978723404255
04,rem,double_lrlr_pause,0.675,0,1.6066666666666667,0.0
04,full_night_ungated,double_lrlr_pause,0.675,7,21.416666666666668,0.32684824902723736
05,rem,double_lrlr_pause,0.675,0,0.5633333333333334,0.0
05,full_night_ungated,double_lrlr_pause,0.675,15,22.683333333333334,0.6612784717119765
00,rem,iso8_matched,0.675,0,1.035,0.0
00,full_night_ungated,iso8_matched,0.675,17,22.083333333333332,0.769811320754717
01,rem,iso8_matched,0.675,0,1.4077777777777778,0.0
01,full_night_ungated,iso8_matched,0.675,14,23.35,0.5995717344753747
02,rem,iso8_matched,0.675,1,1.3416666666666666,0.7453416149068324
02,full_night_ungated,iso8_matched,0.675,17,23.366666666666667,0.7275320970042796
03,rem,iso8_matched,0.675,3,1.7305555555555556,1.7335473515248796
03,full_night_ungated,iso8_matched,0.675,52,23.5,2.2127659574468086
04,rem,iso8_matched,0.675,1,1.6066666666666667,0.6224066390041494
04,full_night_ungated,iso8_matched,0.675,5,21.416666666666668,0.23346303501945523
05,rem,iso8_matched,0.675,0,0.5633333333333334,0.0
05,full_night_ungated,iso8_matched,0.675,10,22.683333333333334,0.440852314474651
00,rem,sync8_c0,0.725,0,1.035,0.0
00,full_night_ungated,sync8_c0,0.725,1,22.083333333333332,0.04528301886792453
01,rem,sync8_c0,0.725,0,1.4077777777777778,0.0
01,full_night_ungated,sync8_c0,0.725,5,23.35,0.2141327623126338
02,rem,sync8_c0,0.725,0,1.3416666666666666,0.0
02,full_night_ungated,sync8_c0,0.725,5,23.366666666666667,0.21398002853067047
03,rem,sync8_c0,0.725,1,1.7305555555555556,0.5778491171749599
03,full_night_ungated,sync8_c0,0.725,16,23.5,0.6808510638297872
04,rem,sync8_c0,0.725,1,1.6066666666666667,0.6224066390041494
04,full_night_ungated,sync8_c0,0.725,2,21.416666666666668,0.0933852140077821
05,rem,sync8_c0,0.725,0,0.5633333333333334,0.0
